question,ground_truth,contexts,evolution_type
"How can FAISS be utilized to improve the evaluation process in LLM-as-Judge, considering its capabilities in handling embeddings and the known biases in scoring outputs?","FAISS can be used to pre-compute and store embeddings of model outputs, enabling efficient retrieval of similar responses during pairwise comparisons in LLM-as-Judge. This helps mitigate biases, such as position bias, by ensuring that the comparison is based on the similarity of content rather than the order of presentation, allowing for more objective evaluations.","['FAISS (Facebook AI Similarity Search) enables fast approximate nearest neighbor search over dense vector embeddings. IndexFlatIP performs exact inner product search (equivalent to cosine similarity after L2 normalization). FAISS supports billion-scale indices. For RAG, embeddings are pre-computed for all chunks, stored in FAISS index, then query embedding is compared at inference time. Typical latency: 1-5ms for top-5 retrieval over 100k vectors.', ""LLM-as-Judge uses a language model to evaluate other models' outputs. Pairwise comparison presents two answers and asks which is better. Absolute scoring rates one answer on multiple dimensions (1-5 scale). Known biases: position bias (prefers first answer), length bias (prefers longer answers), self-preference bias (model favors its own outputs). Mitigation: swap-and-average for position bias, explicit rubrics for length.""]",multi_context
How does the role of the retrieval component in RAG systems affect the faithfulness and relevancy of the generated answers?,"The retrieval component is crucial for ensuring that the generated answers are both faithful and relevant. If the retrieval step effectively finds relevant document chunks, it increases the likelihood that the language model can generate answers that are supported by the context (faithfulness) and directly address the question (relevancy). Therefore, a strong retrieval process enhances both metrics.",['RAG (Retrieval-Augmented Generation) systems combine a retrieval component with a language model. The retrieval step finds relevant document chunks using vector similarity search. The generation step uses an LLM to synthesize an answer grounded in the retrieved context. Key metrics: faithfulness measures if the answer is supported by context; answer relevancy measures if the answer addresses the question; context precision measures retrieval signal-to-noise ratio; context recall measures if all needed information was retrieved.'],reasoning
"How can RAG systems ensure the ethical use of personal data when generating responses based on retrieved information, in accordance with Vietnam's regulations on personal data protection outlined in Nghị định 13/2023/NĐ-CP?","RAG systems can ensure ethical use of personal data by incorporating mechanisms that require consent from individuals before retrieving and utilizing their personal information, in line with the regulations stated in Nghị định 13/2023/NĐ-CP, which mandates obtaining consent for data collection and imposes penalties for violations.","['RAG (Retrieval-Augmented Generation) systems combine a retrieval component with a language model. The retrieval step finds relevant document chunks using vector similarity search. The generation step uses an LLM to synthesize an answer grounded in the retrieved context. Key metrics: faithfulness measures if the answer is supported by context; answer relevancy measures if the answer addresses the question; context precision measures retrieval signal-to-noise ratio; context recall measures if all needed information was retrieved.', 'Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân của Việt Nam quy định: dữ liệu cá nhân cơ bản bao gồm họ tên, ngày sinh, giới tính, nơi sinh, ảnh cá nhân. Dữ liệu cá nhân nhạy cảm bao gồm hồ sơ y tế, dữ liệu sinh trắc học, thông tin tài chính. Tổ chức phải có sự đồng ý của chủ thể trước khi thu thập. Vi phạm sẽ bị xử phạt hành chính.']",multi_context
What is the typical latency for top-5 retrieval over 100k vectors in FAISS?,Typical latency: 1-5ms for top-5 retrieval over 100k vectors.,"['FAISS (Facebook AI Similarity Search) enables fast approximate nearest neighbor search over dense vector embeddings. IndexFlatIP performs exact inner product search (equivalent to cosine similarity after L2 normalization). FAISS supports billion-scale indices. For RAG, embeddings are pre-computed for all chunks, stored in FAISS index, then query embedding is compared at inference time. Typical latency: 1-5ms for top-5 retrieval over 100k vectors.']",simple
"How do the input guardrails and output guardrails collectively contribute to the safety of LLM systems, and what might be a potential consequence if one of these levels were to be ineffective?","The input guardrails ensure that harmful or personal information does not reach the LLM, thus preventing inappropriate generation from occurring in the first place. The output guardrails then classify and filter the generated responses to ensure they are safe for users. If either level were ineffective, it could lead to the LLM generating or presenting harmful content, jeopardizing user safety and trust in the system.","['Guardrails for LLM systems work at two levels. Input guardrails: PII redaction removes personal information before the LLM sees it; topic scope validation rejects off-domain queries; injection detection blocks prompt injection attacks. Output guardrails: Llama Guard 3 classifies responses by safety category (violence, hate speech, self-harm, illegal activities). A full stack runs input guards in parallel (L1), then LLM generation (L2), then output safety check (L3), with async audit logging (L4).']",reasoning
How do the policies regarding vacation days for employees relate to the principles of retrieval-augmented generation systems in terms of ensuring relevant and context-supported answers?,"The policy states that employees are entitled to 12 vacation days per year, which increases with tenure, and requires prior approval for leave. Similarly, RAG systems ensure that answers provided by the language model are grounded in context retrieved from relevant documents, thus maintaining the relevance and support of the information provided.","['# Chính Sách Nghỉ Phép\n\n## Nghỉ Phép Năm\n\nNhân viên chính thức được nghỉ phép năm 12 ngày làm việc mỗi năm. Số ngày nghỉ phép tăng thêm 1 ngày cho mỗi 5 năm thâm niên công tác. Nhân viên mới vào làm giữa năm sẽ được tính nghỉ phép theo tỷ lệ thời gian làm việc thực tế trong năm đó.\n\nĐơn xin nghỉ phép phải được nộp trước ít nhất 3 ngày làm việc và cần được phê duyệt bởi quản lý trực tiếp. Trường hợp khẩn cấp có thể nộp đơn muộn hơn nhưng phải có lý do chính đáng.\n\n## Nghỉ Phép Không Lương\n\nNhân viên có thể xin nghỉ phép không lương tối đa 30 ngày mỗi năm. Đơn xin nghỉ phải được Giám đốc bộ phận phê duyệt và thông báo cho phòng Nhân sự ít nhất 2 tuần trước ngày nghỉ.\n\nTrong thời gian nghỉ không lương, nhân viên không được hưởng lương và phụ cấp. Thâm niên công tác vẫn được tính bình thường t', 'RAG (Retrieval-Augmented Generation) systems combine a retrieval component with a language model. The retrieval step finds relevant document chunks using vector similarity search. The generation step uses an LLM to synthesize an answer grounded in the retrieved context. Key metrics: faithfulness measures if the answer is supported by context; answer relevancy measures if the answer addresses the question; context precision measures retrieval signal-to-noise ratio; context recall measures if all needed information was retrieved.']",multi_context
What are the known biases in LLM-as-Judge evaluation?,"Known biases include position bias, length bias, and self-preference bias.","[""LLM-as-Judge uses a language model to evaluate other models' outputs. Pairwise comparison presents two answers and asks which is better. Absolute scoring rates one answer on multiple dimensions (1-5 scale). Known biases: position bias (prefers first answer), length bias (prefers longer answers), self-preference bias (model favors its own outputs). Mitigation: swap-and-average for position bias, explicit rubrics for length.""]",simple
"What security measures must remote employees follow when accessing sensitive company data, and how are PII detection techniques relevant in the context of handling customer and employee data?","Remote employees must use a company-provided VPN (WireGuard AES-256) and ensure that their connections are logged and monitored by IT, while accessing sensitive systems requires multi-factor authentication (MFA). Additionally, when handling personal identifiable information (PII) such as customer and employee data, specific detection techniques like regex patterns and NER models are necessary to ensure compliance and protection of this data.","['Khi làm việc từ xa, nhân viên phải sử dụng VPN dùng WireGuard AES-256 của công ty. Không được truy cập dữ liệu công ty qua mạng WiFi công cộng không được bảo mật khi không có VPN.\n\nMọi kết nối từ xa đều được ghi log và theo dõi bởi bộ phận IT. Truy cập vào hệ thống nhạy cảm từ xa cần xác thực đa yếu tố (MFA).\n\n## Xử Lý Dữ Liệu\n\nDữ liệu cá nhân của khách hàng và nhân viên phải được mã hóa khi lưu trữ và truyền tải. Không được sao chép dữ liệu nhạy cảm ra thiết bị lưu trữ ngoài khi chưa được phê duyệt.\n\nKhi hợp đồng kết thúc, nhân viên phải trả lại tất cả thiết bị và tài liệu công ty trong vòng 24 giờ.', 'PII (Personally Identifiable Information) detection uses two techniques: regex patterns for structured formats (phone numbers, ID cards, emails, tax codes) and NER models for unstructured text (names, addresses). For Vietnamese documents, specific patterns are needed: CCCD (12 digits), phone (+84 or 0 prefix, 9-10 digits), tax codes (10 digits with optional suffix). Microsoft Presidio provides multilingual NER. Target: recall ≥ 80%, latency P95 < 50ms.']",multi_context
Thời gian thử việc đối với công việc văn phòng là bao lâu?,Thời gian thử việc là 60 ngày đối với công việc văn phòng.,"['# Chính Sách Nhân Sự Chung\n\n## Thử Việc\n\nThời gian thử việc là 60 ngày đối với công việc văn phòng và 30 ngày đối với lao động phổ thông. Trong thời gian thử việc, nhân viên hưởng 85% lương chính thức. Sau thời gian thử việc, nhân viên được ký hợp đồng lao động chính thức.\n\nTrong thời gian thử việc, cả nhân viên và công ty đều có thể chấm dứt hợp đồng mà không cần báo trước. Nếu nhân viên đạt yêu cầu sau thử việc, hợp đồng lao động chính thức sẽ được ký kết ngay.\n\n## Lương và Thưởng\n\nLương được trả vào ngày 10 hàng tháng cho tháng trước. Thưởng cuối năm tương đương 1-3 tháng lương tùy hiệu suất làm việc và tình hình kinh doanh của công ty.\n\nĐánh giá hiệu suất được thực hiện 2 lần/năm vào tháng 6 và tháng 12. Kết quả đánh giá sẽ ảnh hưởng đến mức thưởng và tăng lương hàng năm.\n\n## Đào Tạo v']",simple
"How does the evaluation method of LLM-as-Judge mitigate biases, and how might this relate to the approval process for employee leave requests outlined in the leave policy?","LLM-as-Judge mitigates biases like position and length bias through techniques such as swap-and-average, which ensures a fair comparison of outputs. Similarly, in the leave policy, the requirement for leave requests to be submitted at least 3 days in advance and approved by management helps maintain a fair and organized process, reducing potential biases in decision-making regarding employee time off.","[""LLM-as-Judge uses a language model to evaluate other models' outputs. Pairwise comparison presents two answers and asks which is better. Absolute scoring rates one answer on multiple dimensions (1-5 scale). Known biases: position bias (prefers first answer), length bias (prefers longer answers), self-preference bias (model favors its own outputs). Mitigation: swap-and-average for position bias, explicit rubrics for length."", '# Chính Sách Nghỉ Phép\n\n## Nghỉ Phép Năm\n\nNhân viên chính thức được nghỉ phép năm 12 ngày làm việc mỗi năm. Số ngày nghỉ phép tăng thêm 1 ngày cho mỗi 5 năm thâm niên công tác. Nhân viên mới vào làm giữa năm sẽ được tính nghỉ phép theo tỷ lệ thời gian làm việc thực tế trong năm đó.\n\nĐơn xin nghỉ phép phải được nộp trước ít nhất 3 ngày làm việc và cần được phê duyệt bởi quản lý trực tiếp. Trường hợp khẩn cấp có thể nộp đơn muộn hơn nhưng phải có lý do chính đáng.\n\n## Nghỉ Phép Không Lương\n\nNhân viên có thể xin nghỉ phép không lương tối đa 30 ngày mỗi năm. Đơn xin nghỉ phải được Giám đốc bộ phận phê duyệt và thông báo cho phòng Nhân sự ít nhất 2 tuần trước ngày nghỉ.\n\nTrong thời gian nghỉ không lương, nhân viên không được hưởng lương và phụ cấp. Thâm niên công tác vẫn được tính bình thường t']",multi_context
Nhân viên phải làm gì khi kết thúc hợp đồng với công ty?,Nhân viên phải trả lại tất cả thiết bị và tài liệu công ty trong vòng.,"['Khi làm việc từ xa, nhân viên phải sử dụng VPN dùng WireGuard AES-256 của công ty. Không được truy cập dữ liệu công ty qua mạng WiFi công cộng không được bảo mật khi không có VPN.\n\nMọi kết nối từ xa đều được ghi log và theo dõi bởi bộ phận IT. Truy cập vào hệ thống nhạy cảm từ xa cần xác thực đa yếu tố (MFA).\n\n## Xử Lý Dữ Liệu\n\nDữ liệu cá nhân của khách hàng và nhân viên phải được mã hóa khi lưu trữ và truyền tải. Không được sao chép dữ liệu nhạy cảm ra thiết bị lưu trữ ngoài khi chưa được phê duyệt.\n\nKhi hợp đồng kết thúc, nhân viên phải trả lại tất cả thiết bị và tài liệu công ty trong vòng 24 giờ.']",simple
"How do the different types of adversarial attacks on LLM systems, such as DAN prompts and role-play attacks, illustrate the varying methods of bypassing safety guidelines, and what implications does this have for the effectiveness of detection approaches like topic guard and keyword filtering?","DAN prompts and role-play attacks demonstrate that adversarial techniques can either manipulate the LLM's operational guidelines directly or create scenarios that exploit the model's flexibility. This suggests that detection approaches like topic guard, which relies on embedding similarity, may be effective against more straightforward manipulations, while keyword filtering might struggle with nuanced attacks like role-play, indicating a need for more sophisticated model-based classifiers to address the complexity of these threats.","['Adversarial attacks on LLM systems include: DAN (Do Anything Now) prompts that try to override safety guidelines, role-play attacks that create fictional personas without restrictions, payload splitting that spreads harmful content across multiple messages, encoding attacks that obfuscate harmful instructions in Base64 or ROT13, and indirect injection attacks embedded in retrieved documents. Detection approaches: topic guard (embedding similarity), keyword filtering, and model-based classifiers like Prompt Guard.']",reasoning
What is the P95 latency target for L1 input guards?,L1 (PII + topic) P95 < 50ms.,"['Latency in multi-layer guardrail stacks must be carefully managed. L1 input guards run in parallel using asyncio.gather() to avoid sequential overhead. Target budgets: L1 (PII + topic) P95 < 50ms, L2 (RAG generation) P95 < 2000ms, L3 (Llama Guard via Groq API) P95 < 100ms. L4 audit logging is fire-and-forget and does not count toward latency budget. Total end-to-end P95 target: < 2.5 seconds.']",simple
"What is the maximum duration for unpaid leave according to the labor regulations, and how does this relate to the handling of employee data in a system like FAISS?","The maximum duration for unpaid leave is 30 days per year, and in a system like FAISS, employee data including leave records could be indexed for quick retrieval and analysis.","['rong thời gian nghỉ không lương tối đa 30 ngày/năm.\n\n## Nghỉ Ốm\n\nNhân viên được nghỉ ốm có hưởng lương theo quy định của Bộ luật Lao động. Cần nộp giấy xác nhận y tế từ cơ sở y tế có thẩm quyền trong vòng 3 ngày làm việc kể từ ngày đi làm trở lại.\n\nSố ngày nghỉ ốm hưởng lương không giới hạn, nhưng từ ngày thứ 4 trở đi cần có giấy phép của bác sĩ. Nhân viên nghỉ ốm quá 14 ngày liên tiếp phải thông báo cho phòng Nhân sự.\n\n## Nghỉ Thai Sản\n\nLao động nữ được nghỉ thai sản trước và sau khi sinh là 06 tháng. Trong trường hợp sinh đôi trở lên, cứ mỗi con tăng thêm 01 tháng. Lao động nam được nghỉ thai sản 05 ngày làm việc khi vợ sinh thường, 07 ngày nếu vợ sinh mổ.', 'FAISS (Facebook AI Similarity Search) enables fast approximate nearest neighbor search over dense vector embeddings. IndexFlatIP performs exact inner product search (equivalent to cosine similarity after L2 normalization). FAISS supports billion-scale indices. For RAG, embeddings are pre-computed for all chunks, stored in FAISS index, then query embedding is compared at inference time. Typical latency: 1-5ms for top-5 retrieval over 100k vectors.']",multi_context
What is Cohen's kappa used for in LLM evaluation?,Used in LLM evaluation to calibrate LLM judge against human labels.,"[""Cohen's kappa is a statistical measure of inter-rater agreement that corrects for chance. Formula: kappa = (Po - Pe) / (1 - Pe). Interpretation: <0 worse than chance, 0-0.2 slight, 0.2-0.4 fair, 0.4-0.6 moderate, 0.6-0.8 substantial (production-ready), >0.8 almost perfect. Used in LLM evaluation to calibrate LLM judge against human labels.""]",simple
What techniques are used for PII detection according to the text?,PII detection uses regex patterns for structured formats and NER models for unstructured text.,"['PII (Personally Identifiable Information) detection uses two techniques: regex patterns for structured formats (phone numbers, ID cards, emails, tax codes) and NER models for unstructured text (names, addresses). For Vietnamese documents, specific patterns are needed: CCCD (12 digits), phone (+84 or 0 prefix, 9-10 digits), tax codes (10 digits with optional suffix). Microsoft Presidio provides multilingual NER. Target: recall ≥ 80%, latency P95 < 50ms.']",simple
What are some examples of adversarial attacks on LLM systems?,"DAN prompts, role-play attacks, payload splitting, encoding attacks, and indirect injection attacks.","['Adversarial attacks on LLM systems include: DAN (Do Anything Now) prompts that try to override safety guidelines, role-play attacks that create fictional personas without restrictions, payload splitting that spreads harmful content across multiple messages, encoding attacks that obfuscate harmful instructions in Base64 or ROT13, and indirect injection attacks embedded in retrieved documents. Detection approaches: topic guard (embedding similarity), keyword filtering, and model-based classifiers like Prompt Guard.']",simple
What does the retrieval step in RAG systems utilize to find relevant document chunks?,The retrieval step finds relevant document chunks using vector similarity search.,['RAG (Retrieval-Augmented Generation) systems combine a retrieval component with a language model. The retrieval step finds relevant document chunks using vector similarity search. The generation step uses an LLM to synthesize an answer grounded in the retrieved context. Key metrics: faithfulness measures if the answer is supported by context; answer relevancy measures if the answer addresses the question; context precision measures retrieval signal-to-noise ratio; context recall measures if all needed information was retrieved.'],simple
How might the biases identified in LLM-as-Judge affect the evaluation of outputs related to personal data protection in Vietnam as outlined in Nghị định 13/2023/NĐ-CP?,"The biases in LLM-as-Judge, such as position bias and self-preference bias, could lead to skewed evaluations of outputs discussing personal data protection, potentially favoring responses that align with the model's own outputs or those presented first, which may not accurately reflect the legal nuances or the seriousness of compliance in data protection as mandated by Nghị định 13/2023/NĐ-CP.","[""LLM-as-Judge uses a language model to evaluate other models' outputs. Pairwise comparison presents two answers and asks which is better. Absolute scoring rates one answer on multiple dimensions (1-5 scale). Known biases: position bias (prefers first answer), length bias (prefers longer answers), self-preference bias (model favors its own outputs). Mitigation: swap-and-average for position bias, explicit rubrics for length."", 'Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân của Việt Nam quy định: dữ liệu cá nhân cơ bản bao gồm họ tên, ngày sinh, giới tính, nơi sinh, ảnh cá nhân. Dữ liệu cá nhân nhạy cảm bao gồm hồ sơ y tế, dữ liệu sinh trắc học, thông tin tài chính. Tổ chức phải có sự đồng ý của chủ thể trước khi thu thập. Vi phạm sẽ bị xử phạt hành chính.']",multi_context
"Considering the latency targets specified for each layer, what is the maximum allowable latency for the combination of L1 and L3, and how does this compare to the overall end-to-end latency target?","The maximum allowable latency for L1 (P95 < 50ms) and L3 (P95 < 100ms) combined is 150ms. This is significantly lower than the overall end-to-end latency target of < 2.5 seconds, indicating that L1 and L3 are well within the limits but still need to be managed carefully to meet their individual targets.","['Latency in multi-layer guardrail stacks must be carefully managed. L1 input guards run in parallel using asyncio.gather() to avoid sequential overhead. Target budgets: L1 (PII + topic) P95 < 50ms, L2 (RAG generation) P95 < 2000ms, L3 (Llama Guard via Groq API) P95 < 100ms. L4 audit logging is fire-and-forget and does not count toward latency budget. Total end-to-end P95 target: < 2.5 seconds.']",reasoning
"If a female employee gives birth to twins and has already taken 3 months of maternity leave, how many additional months of leave does she have left, and what implications does this have for her job security compared to an employee taking unpaid leave for 30 days?","The female employee has 3 additional months of maternity leave left (6 months total for twins minus 3 months taken). Compared to an employee taking 30 days of unpaid leave, she is more secure in her job as her maternity leave is a right protected by labor laws, while unpaid leave may not guarantee the same job security.","['rong thời gian nghỉ không lương tối đa 30 ngày/năm.\n\n## Nghỉ Ốm\n\nNhân viên được nghỉ ốm có hưởng lương theo quy định của Bộ luật Lao động. Cần nộp giấy xác nhận y tế từ cơ sở y tế có thẩm quyền trong vòng 3 ngày làm việc kể từ ngày đi làm trở lại.\n\nSố ngày nghỉ ốm hưởng lương không giới hạn, nhưng từ ngày thứ 4 trở đi cần có giấy phép của bác sĩ. Nhân viên nghỉ ốm quá 14 ngày liên tiếp phải thông báo cho phòng Nhân sự.\n\n## Nghỉ Thai Sản\n\nLao động nữ được nghỉ thai sản trước và sau khi sinh là 06 tháng. Trong trường hợp sinh đôi trở lên, cứ mỗi con tăng thêm 01 tháng. Lao động nam được nghỉ thai sản 05 ngày làm việc khi vợ sinh thường, 07 ngày nếu vợ sinh mổ.']",reasoning
"How can Cohen's kappa be used to evaluate the effectiveness of PII detection techniques, such as regex patterns and NER models, in the context of Vietnamese documents?","Cohen's kappa can be used to assess the inter-rater agreement between the PII detection results obtained through regex patterns and NER models in Vietnamese documents. By comparing the accuracy of these methods against human labels, a kappa score can indicate whether the PII detection is producing substantial (>0.6) or almost perfect (>0.8) results, thus validating the effectiveness of the chosen techniques.","['PII (Personally Identifiable Information) detection uses two techniques: regex patterns for structured formats (phone numbers, ID cards, emails, tax codes) and NER models for unstructured text (names, addresses). For Vietnamese documents, specific patterns are needed: CCCD (12 digits), phone (+84 or 0 prefix, 9-10 digits), tax codes (10 digits with optional suffix). Microsoft Presidio provides multilingual NER. Target: recall ≥ 80%, latency P95 < 50ms.', ""Cohen's kappa is a statistical measure of inter-rater agreement that corrects for chance. Formula: kappa = (Po - Pe) / (1 - Pe). Interpretation: <0 worse than chance, 0-0.2 slight, 0.2-0.4 fair, 0.4-0.6 moderate, 0.6-0.8 substantial (production-ready), >0.8 almost perfect. Used in LLM evaluation to calibrate LLM judge against human labels.""]",multi_context
"Nhân viên có thể nghỉ phép năm tối đa bao nhiêu ngày mỗi năm?","Nhân viên được nghỉ 12 ngày phép năm mỗi năm, cộng thêm 1 ngày cho mỗi 5 năm làm việc.","[""Nhân viên được hưởng 12 ngày nghỉ phép năm. Cứ mỗi 5 năm làm việc, được cộng thêm 1 ngày. Phép năm phải được đăng ký trước ít nhất 3 ngày làm việc.""]","simple"
"Nhân viên nam được nghỉ bao nhiêu ngày khi vợ sinh mổ?","Nhân viên nam được nghỉ 7 ngày làm việc khi vợ sinh mổ.","[""Lao động nam được nghỉ thai sản 05 ngày làm việc khi vợ sinh thường, 07 ngày nếu vợ sinh mổ.""]","simple"
"Thời gian tối đa nhân viên được nghỉ không lương trong một năm là bao lâu?","Nhân viên được nghỉ không lương tối đa 30 ngày mỗi năm.","[""Nhân viên được nghỉ không lương tối đa 30 ngày mỗi năm.""]","simple"
"What are the key metrics used in RAGAS evaluation?","RAGAS evaluates RAG systems using four metrics: faithfulness, answer relevancy, context precision, and context recall.","[""RAGAS evaluates RAG systems using four metrics: faithfulness, answer relevancy, context precision, and context recall.""]","simple"
"What is the purpose of the swap-and-average technique in LLM-as-Judge?","Swap-and-average runs each pairwise comparison twice with the order swapped to eliminate position bias, then aggregates the results.","[""Swap-and-average runs each pair twice with flipped order to mitigate position bias. Final winner requires both runs to agree.""]","simple"
"Nhân viên bị phát hiện vi phạm bảo mật thông tin sẽ bị xử lý như thế nào?","Nhân viên vi phạm chính sách bảo mật thông tin sẽ bị xử lý kỷ luật theo quy định nội bộ, có thể lên đến chấm dứt hợp đồng.","[""Vi phạm chính sách bảo mật thông tin sẽ dẫn đến xử lý kỷ luật. Mức độ xử lý phụ thuộc vào mức độ vi phạm.""]","reasoning"
"How does context recall relate to the quality of the retriever in a RAG system?","Context recall measures whether all relevant information needed to answer a question was retrieved. A low context recall indicates the retriever failed to surface relevant chunks.","[""Context recall measures if all needed information was retrieved. Low context recall means the retriever missed relevant chunks.""]","reasoning"
"If an employee changes password every 90 days and cannot reuse the last 5 passwords, what is the minimum number of unique passwords needed over 2 years?","Over 2 years there are approximately 8 90-day cycles, so an employee needs at least 8 unique passwords. But since the last 5 are blocked, they need at least 6 distinct passwords in rotation.","[""Mật khẩu phải được thay đổi mỗi 90 ngày. Không được sử dụng lại 5 mật khẩu gần nhất.""]","reasoning"
"How do faithfulness and context precision together indicate the health of a RAG pipeline?","High faithfulness with low context precision suggests the model uses the little context it retrieves well, but the retriever returns noisy results. Both metrics together reveal both retrieval quality and generation quality.","[""Faithfulness measures if the answer is grounded in context. Context precision measures retrieval signal-to-noise ratio.""]","multi_context"
